BtsName,BscId,Longitude,Latitude,Altitude,BtsCompany,BtsPower
XUEYUANMEN1,42215,121.149885,41.120547,40,Bell,5
XUEYUANMEN2,42215,121.149885,41.120547,40,Bell,5
XUEYUANMEN3,42215,121.149885,41.120547,40,Bell,5
XINSONGLU1,42215,121.179905,41.112977,50,Bell,5
XINSONGLU2,42215,121.179905,41.112977,50,Bell,5
XINSONGLU3,42215,121.179905,41.112977,50,Bell,5
BINHELU1,42215,121.120565,41.112757,90,Bell,5
BINHELU2,42215,121.120565,41.112757,90,Bell,5
BINHELU3,42215,121.120565,41.112757,55,Bell,5
BINHELU4,42215,121.120565,41.112757,50,Bell,5
KAIFAQU1,42216,121.089335,41.120217,50,Huawei,5
KAIFAQU2,42216,121.089335,41.120217,50,Huawei,5
KAIFAQU3,42216,121.089335,41.120217,50,Huawei,5
PINGGUOYUAN1,42216,121.162695,41.137144,25,Huawei,5
PINGGUOYUAN2,42216,121.162695,41.137144,25,Huawei,5
PINGGUOYUAN3,42216,121.162695,41.137144,25,Huawei,5
JIANHANG1,42217,121.137365,41.112287,45,Datang,5
JIANHANG2,42217,121.137365,41.112287,25,Datang,5
JIANHANG3,42217,121.137365,41.112287,30,Datang,5
YIZHUAN1,42217,121.136449,41.129033,50,Datang,5
YIZHUAN2,42217,121.136449,41.129033,35,Datang,5
YIZHUAN3,42217,121.136449,41.129033,35,Datang,5
YIZHUAN4,42217,121.136449,41.129033,30,Datang,5
PAOTUAN1,42217,121.177965,41.127767,30,Datang,5
PAOTUAN2,42217,121.177965,41.127767,30,Datang,5
PAOTUAN3,42217,121.177965,41.127767,30,Datang,5
DIANYEJU1,42217,121.128727,41.103949,35,Datang,5
DIANYEJU2,42217,121.128727,41.103949,35,Datang,5
DIANYEJU3,42217,121.128727,41.103949,40,Datang,5
ERZHIGAO1,42217,121.157705,41.107277,40,Datang,5
ERZHIGAO2,42217,121.157705,41.107277,40,Datang,5
ERZHIGAO3,42217,121.157705,41.107277,40,Datang,5
ZHONGFANGGS1,42217,121.126305,41.122877,40,Datang,5
ZHONGFANGGS2,42217,121.126305,41.122877,40,Datang,5
ZHONGFANGGS3,42217,121.126305,41.122877,40,Datang,5
BIANJINGHOTEL1,42218,121.149644,41.127283,40,Siemens,5
BIANJINGHOTEL2,42218,121.149644,41.127283,25,Siemens,5
BIANJINGHOTEL3,42218,121.149644,41.127283,25,Siemens,5
GONGANJU1,42218,121.139235,41.121667,50,Siemens,5
GONGANJU2,42218,121.139235,41.121667,45,Siemens,5
GONGANJU3,42218,121.139235,41.121667,35,Siemens,5
PIJIUCHANG1,42218,121.122705,41.092677,30,Siemens,5
