本小区ID,邻小区ID,本小区LAC,邻小区LAC,
CellId,AdjcellId,CellLac,Adjcelllac,
9152,9291,14119,14119,
9152,9373,14119,14119,
9152,9553,14119,14119,
9152,9133,14119,14119,
9152,9151,14119,14119,
9152,9463,14119,14119,
9152,9522,14119,14119,
9152,9031,14119,14119,
9152,9072,14119,14119,
9152,9271,14119,14119,
9152,9521,14119,14119,
9152,9132,14119,14119,
9152,9063,14119,14119,
9152,9143,14119,14119,
9152,9153,14119,14119,
9152,9371,14119,14119,
9152,9372,14119,14119,
9152,9111,14119,14119,
9152,9273,14119,14119,
9152,9552,14119,14119,
9152,9013,14119,14119,
9152,9241,14119,14119,
9152,9062,14119,14119,
9152,9073,14119,14119,
9152,9222,14119,14119,
9152,9243,14119,14119,
9152,9032,14119,14119,
9152,9061,14119,14119,
9152,9192,14119,14119,
9152,9242,14119,14119,
9242,9011,14119,14119,
9242,9012,14119,14119,
9242,9143,14119,14119,
9242,9371,14119,14119,
9242,9061,14119,14119,
9242,9121,14119,14119,
9242,9291,14119,14119,
9242,9273,14119,14119,
9242,9323,14119,14119,
9242,9013,14119,14119,
9242,9241,14119,14119,
9242,9263,14119,14119,
9242,9462,14119,14119,
9242,9373,14119,14119,
9242,9062,14119,14119,
9242,9501,14119,14119,
9242,9072,14119,14119,
9242,9123,14119,14119,
9242,9151,14119,14119,
9242,9152,14119,14119,
9242,9243,14119,14119,
9242,9261,14119,14119,
9242,9023,14119,14119,
9242,9053,14119,14119,
9242,9142,14119,14119,
9242,9213,14119,14119,
9242,9021,14119,14119,
9242,9271,14119,14119,
9242,9272,14119,14119,
9242,9372,14119,14119,
9242,9542,14119,14119,
9462,9132,14119,14119,
9462,9213,14119,14119,
9462,9263,14119,14119,
9462,9141,14119,14119,
9462,9153,14119,14119,
9462,9323,14119,14119,
9462,9151,14119,14119,
9462,9242,14119,14119,
9462,9371,14119,14119,
9462,9013,14119,14119,
9462,9261,14119,14119,
9462,9241,14119,14119,
9462,9271,14119,14119,
9462,9012,14119,14119,
9462,9142,14119,14119,
9462,9463,14119,14119,
9462,9543,14119,14119,
9462,9011,14119,14119,
9462,9053,14119,14119,
9462,9542,14119,14119,
9462,9143,14119,14119,
9462,9072,14119,14119,
9462,9202,14119,14119,
9462,9461,14119,14119,
9033,9411,14119,14119,
9033,9523,14119,14119,
9033,9133,14119,14119,
9033,9031,14119,14119,
9033,9042,14119,14119,
9033,9043,14119,14119,
9033,9281,14119,14119,
9033,9161,14119,14119,
9033,9521,14119,14119,
9033,9193,14119,14119,
9033,9412,14119,14119,
9033,9223,14119,14119,
9033,9413,14119,14119,
9033,9553,14119,14119,
9033,9032,14119,14119,
9033,9222,14119,14119,
9033,9293,14119,14119,
9033,9063,14119,14119,
9033,9111,14119,14119,
9033,9382,14119,14119,
9033,9034,14119,14119,
9033,9392,14119,14119,
9033,9113,14119,14119,
9033,9282,14119,14119,
9033,9383,14119,14119,
9113,9283,14119,14119,
9113,9112,14119,14119,
9113,9173,14119,14119,
9113,9162,14119,14119,
9113,9522,14119,14119,
9113,9523,14119,14119,
9113,9032,14119,14119,
9113,9161,14119,14119,
9113,9063,14119,14119,
9113,9293,14119,14119,
9113,9563,14119,14119,
9113,9042,14119,14119,
9113,9282,14119,14119,
9113,9033,14119,14119,
9113,9281,14119,14119,
9113,9403,14119,14119,
9113,9111,14119,14119,
9113,9291,14119,14119,
9113,9163,14119,14119,
9113,9222,14119,14119,
9113,9401,14119,14119,
9113,9412,14119,14119,
9113,9413,14119,14119,
9141,9151,14119,14119,
9141,9180,14119,14119,
9141,9188,14119,14119,
9141,9211,14119,14119,
9141,9261,14119,14119,
9141,9542,14119,14119,
9141,9543,14119,14119,
9141,9051,14119,14119,
9141,9072,14119,14119,
9141,9241,14119,14119,
9141,9203,14119,14119,
9141,9341,14119,14119,
9141,9462,14119,14119,
9141,9011,14119,14119,
9141,9312,14119,14119,
9141,9362,14119,14119,
9141,9541,14119,14119,
9141,9053,14119,14119,
9141,9201,14119,14119,
9141,9461,14119,14119,
9141,9202,14119,14119,
9141,9213,14119,14119,
9141,9103,14119,14119,
9141,9143,14119,14119,
9141,9452,14119,14119,
9141,9071,14119,14119,
9141,9343,14119,14119,
9141,9101,14119,14119,
9141,9142,14119,14119,
9272,9121,14119,14119,
9272,9253,14119,14119,
9272,9322,14119,14119,
9272,9292,14119,14119,
9272,9373,14119,14119,
9272,9123,14119,14119,
9272,9271,14119,14119,
9272,9273,14119,14119,
9272,9571,14119,14119,
9272,9012,14119,14119,
9272,9112,14119,14119,
9272,9262,14119,14119,
9272,9372,14119,14119,
9272,9122,14119,14119,
9272,9242,14119,14119,
9272,9331,14119,14119,
9272,9171,14119,14119,
9272,9443,14119,14119,
9272,9023,14119,14119,
9272,9323,14119,14119,
9272,9573,14119,14119,
9272,9291,14119,14119,
9272,9502,14119,14119,
9272,9022,14119,14119,
9272,9263,14119,14119,
9272,9021,14119,14119,
9272,9062,14119,14119,
9272,9501,14119,14119,
9271,9123,14119,14119,
9271,9213,14119,14119,
9271,9263,14119,14119,
9271,9012,14119,14119,
9271,9022,14119,14119,
9271,9103,14119,14119,
9271,9242,14119,14119,
9271,9023,14119,14119,
9271,9371,14119,14119,
9271,9143,14119,14119,
9271,9261,14119,14119,
9271,9121,14119,14119,
9271,9372,14119,14119,
9271,9462,14119,14119,
9271,9542,14119,14119,
9271,9062,14119,14119,
9271,9142,14119,14119,
9271,9152,14119,14119,
9271,9241,14119,14119,
9271,9272,14119,14119,
9271,9061,14119,14119,
9271,9243,14119,14119,
9271,9262,14119,14119,
9271,9443,14119,14119,
9271,9543,14119,14119,
9271,9011,14119,14119,
9271,9013,14119,14119,
9271,9021,14119,14119,
9271,9151,14119,14119,
9271,9273,14119,14119,
9271,9323,14119,14119,
9273,9023,14119,14119,
9273,9373,14119,14119,
9273,9031,14119,14119,
9273,9121,14119,14119,
9273,9293,14119,14119,
9273,9372,14119,14119,
9273,9012,14119,14119,
9273,9263,14119,14119,
9273,9271,14119,14119,
9273,9272,14119,14119,
9273,9152,14119,14119,
9273,9032,14119,14119,
9273,9111,14119,14119,
9273,9371,14119,14119,
9273,9061,14119,14119,
9273,9243,14119,14119,
9273,9291,14119,14119,
9273,9571,14119,14119,
9273,9062,14119,14119,
9273,9123,14119,14119,
9273,9292,14119,14119,
9273,9503,14119,14119,
9273,9522,14119,14119,
9273,9013,14119,14119,
9273,9242,14119,14119,
9273,9171,14119,14119,
9273,9063,14119,14119,
9273,9112,14119,14119,
9523,9034,14119,14119,
9523,9281,14119,14119,
9523,9412,14119,14119,
9523,9133,14119,14119,
9523,9293,14119,14119,
9523,9521,14119,14119,
9523,9113,14119,14119,
9523,9401,14119,14119,
9523,9552,14119,14119,
9523,9032,14119,14119,
9523,9033,14119,14119,
9523,9522,14119,14119,
9523,9163,14119,14119,
9523,9282,14119,14119,
9523,9063,14119,14119,
9523,9111,14119,14119,
9523,9291,14119,14119,
9523,9031,14119,14119,
9523,9153,14119,14119,
9523,9222,14119,14119,
9523,9553,14119,14119,
9523,9161,14119,14119,
9523,9373,14119,14119,
9063,9521,14119,14119,
9063,9523,14119,14119,
9063,9243,14119,14119,
9063,9552,14119,14119,
9063,9112,14119,14119,
9063,9113,14119,14119,
9063,9553,14119,14119,
9063,9033,14119,14119,
9063,9034,14119,14119,
9063,9132,14119,14119,
9063,9412,14119,14119,
9063,9061,14119,14119,
9063,9373,14119,14119,
9063,9013,14119,14119,
9063,9111,14119,14119,
9063,9032,14119,14119,
9063,9161,14119,14119,
9063,9273,14119,14119,
9063,9062,14119,14119,
9063,9133,14119,14119,
9063,9171,14119,14119,
9063,9293,14119,14119,
9063,9522,14119,14119,
9063,9031,14119,14119,
9063,9123,14119,14119,
9063,9291,14119,14119,
9063,9152,14119,14119,
9062,9293,14119,14119,
9062,9552,14119,14119,
9062,9063,14119,14119,
9062,9112,14119,14119,
9062,9272,14119,14119,
9062,9023,14119,14119,
9062,9122,14119,14119,
9062,9242,14119,14119,
9062,9503,14119,14119,
9062,9152,14119,14119,
9062,9121,14119,14119,
9062,9171,14119,14119,
9062,9263,14119,14119,
9062,9271,14119,14119,
9062,9501,14119,14119,
9062,9123,14119,14119,
9062,9273,14119,14119,
9062,9292,14119,14119,
9062,9061,14119,14119,
9062,9291,14119,14119,
9062,9372,14119,14119,
9062,9373,14119,14119,
9062,9012,14119,14119,
9062,9032,14119,14119,
9062,9331,14119,14119,
9062,9522,14119,14119,
9062,9013,14119,14119,
9062,9111,14119,14119,
9062,9243,14119,14119,
9073,9153,14119,14119,
9073,9241,14119,14119,
9073,9371,14119,14119,
9073,9131,14119,14119,
9073,9373,14119,14119,
9073,9521,14119,14119,
9073,9074,14119,14119,
9073,9143,14119,14119,
9073,9243,14119,14119,
9073,9461,14119,14119,
9073,9313,14119,14119,
9073,9551,14119,14119,
9073,9151,14119,14119,
9073,9191,14119,14119,
9073,9203,14119,14119,
9073,9072,14119,14119,
9073,9192,14119,14119,
9073,9552,14119,14119,
9073,9133,14119,14119,
9073,9152,14119,14119,
9073,9221,14119,14119,
9073,9312,14119,14119,
9073,9061,14119,14119,
9073,9132,14119,14119,
9073,9382,14119,14119,
9073,9463,14119,14119,
9073,9031,14119,14119,
9073,9071,14119,14119,
9073,9193,14119,14119,
9193,9034,14119,14119,
9193,9381,14119,14119,
9193,9192,14119,14119,
9193,9313,14119,14119,
9193,9411,14119,14119,
9193,9362,14119,14119,
9193,9391,14119,14119,
9193,9392,14119,14119,
9193,9222,14119,14119,
9193,9553,14119,14119,
9193,9033,14119,14119,
9193,9041,14119,14119,
9193,9221,14119,14119,
9193,9363,14119,14119,
9193,9073,14119,14119,
9193,9223,14119,14119,
9193,9383,14119,14119,
9193,9133,14119,14119,
9193,9191,14119,14119,
9193,9382,14119,14119,
9193,9042,14119,14119,
9193,9551,14119,14119,
9193,9131,14119,14119,
9193,9232,14119,14119,
