DATE（日期）,TIME（时间）,CELLID（小区）,nTCH（可用信道数）,traff（总话务量）,rate（半速率话务量比例）,thtraff（半速率话务量）,callnum（呼叫数）,congsnum（拥塞数）,callcongs（拥塞率）
71014,181148,9011,43,22,0.128787877,2.8333333,60,0,0
71014,181248,9011,43,22.833332,0.051094891,1.1666666,53,0,0
71014,181348,9011,43,23.333334,0,0,45,0,0
71014,181449,9011,43,22.333334,0.03731343,0.8333333,60,0,0
71014,181550,9011,43,26,0.448717962,11.666667,50,3,0.06
71014,181650,9011,43,23.333332,0.471428598,11,58,0,0
71014,181757,9011,43,20.571428,0.479166638,9.857142,49,0,0
71014,181856,9011,43,22.2,0.306306306,6.8,33,0,0
71014,181955,9011,43,19.166666,0.130434787,2.5,40,0,0
71014,182056,9011,43,18.142857,0.110236221,2,37,0,0
71014,182156,9011,43,21,0.206349214,4.3333335,57,0,0
71014,182255,9011,43,27.599998,0.333333357,9.2,32,0,0
71014,182353,9011,43,24.333334,0.26712328,6.5,35,0,0
71014,182451,9011,43,21,0.19841269,4.1666665,34,0,0
71014,182551,9011,43,18.666668,0.214285699,4,30,0,0
71014,182652,9011,43,16.666666,0.130000007,2.1666667,38,0,0
71014,182752,9011,43,22.5,0.2074074,4.6666665,38,0,0
71014,182851,9011,43,18,0.083333333,1.5,49,0,0
71014,182949,9011,43,24.666666,0.040540542,1,42,0,0
71014,183050,9011,43,21.833332,0.053435115,1.1666666,52,0,0
71014,183150,9011,43,24.5,0.312925163,7.6666665,54,0,0
71014,183256,9011,43,18,0.246031722,4.428571,57,0,0
71014,183355,9011,43,27.8,0.338129496,9.4,44,0,0
71014,183454,9011,43,18.5,0.288288297,5.3333335,47,0,0
71014,183555,9011,43,23.833334,0.307692306,7.3333335,76,16,0.210526316
71014,183656,9011,43,22.428572,0.222929931,5,48,4,0.083333333
71014,183757,9011,43,24.333334,0.226027391,5.5,44,0,0
71014,183857,9011,43,22.166666,0.13533835,3,43,0,0
71014,183957,9011,43,20,0.183333335,3.6666667,47,0,0
71014,184057,9011,43,19.166666,0.130434787,2.5,43,0,0
71014,184157,9011,43,15,0.066666667,1,46,0,0
71014,184257,9011,43,20.833334,0.039999997,0.8333333,42,0,0
71014,184356,9011,43,26.4,0.022727273,0.6,45,3,0.066666667
71014,184456,9011,43,21.333332,0.195312504,4.1666665,49,0,0
71014,184556,9011,43,25.333332,0.447368431,11.333333,41,0,0
71014,184656,9011,43,18.857143,0.310606066,5.857143,39,0,0
71014,184757,9011,43,24.833332,0.208053696,5.1666665,60,0,0
71014,184934,9011,43,20.4,0.362745098,7.4,74,0,0
71014,185109,9011,43,29,0.624521034,18.11111,107,3,0.028037383
71014,185242,9011,43,30.444443,0.693430653,21.11111,80,13,0.1625
71014,185344,9011,43,35.857143,0.872509977,31.285715,84,5,0.05952381
71014,185519,9011,43,25,0.54666668,13.666667,74,0,0
71014,185644,9011,43,24.75,0.338383838,8.375,41,0,0
71014,185745,9011,43,26.833332,0.39751556,10.666667,57,0,0
71014,185845,9011,43,25,0.47428568,11.857142,93,4,0.043010753
71014,190020,9011,43,29.88889,0.657992518,19.666666,77,2,0.025974026
71014,190156,9011,43,31.2,0.740384615,23.1,79,0,0
71014,190349,9011,43,20.545454,0.553097342,11.363636,71,0,0
71014,190527,9011,43,21,0.642857143,13.5,63,1,0.015873016
71014,190703,9011,43,23.099998,0.593073644,13.7,57,0,0
71014,190840,9011,43,28.555555,0.583657576,16.666666,67,4,0.059701493
71014,191016,9011,43,21.2,0.514150943,10.9,58,0,0
71014,191152,9011,43,28.88889,0.519230749,15,84,3,0.035714286
71014,191327,9011,43,27.3,0.56043956,15.3,52,5,0.096153846
71014,191502,9011,43,21.777779,0.43877546,9.555555,54,0,0
71014,191637,9011,43,19.4,0.396907216,7.7,59,6,0.101694915
71014,191812,9011,43,24.88889,0.553571413,13.777778,48,2,0.041666667
71014,191948,9011,43,21.8,0.651376147,14.2,65,0,0
71014,192124,9011,43,21.2,0.589622642,12.5,70,8,0.114285714
71014,192259,9011,43,26,0.542735038,14.111111,65,12,0.184615385
71014,192434,9011,43,16.5,0.442424242,7.3,49,0,0
71014,192610,9011,43,22.777779,0.414634148,9.444445,51,0,0
71014,192746,9011,43,18.2,0.379120879,6.9,69,6,0.086956522
71014,192923,9011,43,22.599998,0.495575265,11.2,68,3,0.044117647
71014,193054,9011,43,28.125,0.662222222,18.625,46,2,0.043478261
71014,193155,9011,43,24.333334,0.712328775,17.333334,44,3,0.068181818
71014,193257,9011,43,0,#DIV/0!,0,45,0,0
71014,193357,9011,43,22.666666,0.68382355,15.5,49,0,0
71014,193457,9011,43,19.5,0.60683759,11.833333,37,4,0.108108108
71014,193558,9011,43,20.333334,0.524590163,10.666667,38,0,0
71014,193700,9011,43,24.333334,0.712328775,17.333334,52,7,0.134615385
71014,193800,9011,43,25.666666,0.72727272,18.666666,49,3,0.06122449
71014,193901,9011,43,29.833332,0.793296102,23.666666,53,8,0.150943396
71014,194002,9011,43,30.333334,0.791208774,24,65,10,0.153846154
71014,194102,9011,43,32,0.770833313,24.666666,48,9,0.1875
71014,194202,9011,43,30.166668,0.773480651,23.333334,40,2,0.05
71014,194304,9011,43,24.5,0.795918367,19.5,31,0,0
71014,194404,9011,43,18.166666,0.733944963,13.333333,20,0,0
71014,194503,9011,43,22.166668,0.80451126,17.833334,36,3,0.083333333
71014,194615,9011,43,26.57143,0.7849462,20.857143,61,8,0.131147541
71014,194716,9011,43,22.833334,0.722627716,16.5,44,6,0.136363636
71014,194816,9011,43,21.833334,0.801526693,17.5,26,0,0
71014,194916,9011,43,17.833334,0.682242984,12.166667,39,1,0.025641026
71014,195017,9011,43,15.571428,0.486238577,7.571429,23,0,0
71014,195118,9011,43,26.666668,0.612499994,16.333334,64,16,0.25
71014,195218,9011,43,28.333334,0.700000007,19.833334,60,7,0.116666667
71014,195317,9011,43,24.5,0.816326531,20,84,18,0.214285714
