路测标识,小区ID,纬度,经度,接收电平
KeyNum,CellID,Latitude,Longitude,RxLev
304825,9151,121.147079,41.130652,-94.38089
304826,9151,121.147081,41.130654,-94.383842
304827,9151,121.147083,41.130655,-94.386792
304828,9151,121.147084,41.130657,-94.389742
304829,9151,121.147086,41.130659,-94.392691
304830,9151,121.147088,41.13066,-94.39564
304831,9151,121.147089,41.130662,-94.398588
304832,9151,121.147091,41.130664,-94.401536
304833,9151,121.147093,41.130665,-94.404483
304834,9151,121.147094,41.130667,-94.407429
304835,9151,121.147096,41.130669,-94.410375
304836,9151,121.147098,41.130671,-94.41332
304837,9151,121.1471,41.130672,-94.416265
304838,9151,121.147101,41.130674,-94.419209
304839,9151,121.147103,41.130676,-94.422153
304840,9151,121.147105,41.130677,-94.425096
304841,9151,121.147106,41.130679,-94.428038
304842,9151,121.147108,41.130681,-94.43098
304843,9151,121.14711,41.130682,-94.433921
304844,9151,121.147111,41.130684,-94.436862
304845,9151,121.147113,41.130686,-94.439802
304846,9151,121.147115,41.130688,-94.442742
304847,9151,121.147117,41.130689,-94.445681
304848,9151,121.147118,41.130691,-94.448619
304849,9151,121.14712,41.130693,-94.451557
304850,9151,121.147122,41.130694,-94.454494
304851,9151,121.147123,41.130696,-94.457431
304852,9151,121.147125,41.130698,-94.460367
304853,9151,121.147127,41.130699,-94.463302
304854,9151,121.147128,41.130701,-94.466237
304855,9151,121.14713,41.130703,-94.469171
304856,9151,121.147132,41.130705,-94.472105
304857,9151,121.147134,41.130706,-94.475038
304858,9151,121.147135,41.130708,-94.477971
304859,9151,121.147137,41.13071,-94.480903
304860,9151,121.147139,41.130711,-94.483835
304861,9151,121.14714,41.130713,-94.486766
304862,9151,121.147142,41.130715,-94.489696
304863,9151,121.147144,41.130716,-94.492626
304864,9151,121.147145,41.130718,-94.495555
304865,9151,121.147147,41.13072,-94.498483
304866,9151,121.147149,41.130722,-94.501411
304867,9151,121.147151,41.130723,-94.504339
304868,9151,121.147152,41.130725,-94.507266
304869,9151,121.147154,41.130727,-94.510192
304870,9151,121.147156,41.130728,-94.513118
304871,9151,121.147157,41.13073,-94.516043
304872,9151,121.147159,41.130732,-94.518968
304873,9151,121.147161,41.130733,-94.521892
304874,9151,121.147162,41.130735,-94.524815
304875,9151,121.147164,41.130737,-94.527738
304876,9151,121.147166,41.130739,-94.530661
304877,9151,121.147168,41.13074,-94.533582
304878,9151,121.147169,41.130742,-94.536504
304879,9151,121.147171,41.130744,-94.539424
304880,9151,121.147173,41.130745,-94.542344
304881,9151,121.147174,41.130747,-94.545264
304882,9151,121.147176,41.130749,-94.548183
304883,9151,121.147178,41.13075,-94.551101
304884,9151,121.147179,41.130752,-94.554019
304885,9151,121.147181,41.130754,-94.556936
304886,9151,121.147183,41.130756,-94.559853
304887,9151,121.147185,41.130757,-94.562769
304888,9151,121.147186,41.130759,-94.565684
304889,9151,121.147188,41.130761,-94.568599
304890,9151,121.14719,41.130762,-94.571514
304891,9151,121.147191,41.130764,-94.574428
304892,9151,121.147193,41.130766,-94.577341
304893,9151,121.147195,41.130767,-94.580254
304894,9151,121.147196,41.130769,-94.583166
304895,9151,121.147198,41.130771,-94.586077
304896,9151,121.1472,41.130773,-94.588988
304897,9151,121.147202,41.130774,-94.591899
304898,9151,121.147203,41.130776,-94.594809
304899,9151,121.147205,41.130778,-94.597718
304900,9151,121.147207,41.130779,-94.600627
304901,9151,121.147208,41.130781,-94.603535
304902,9151,121.14721,41.130783,-94.606442
304903,9151,121.147212,41.130784,-94.609349
304904,9151,121.147213,41.130786,-94.612256
304905,9151,121.147215,41.130788,-94.615162
304906,9151,121.147217,41.13079,-94.618067
304907,9151,121.147219,41.130791,-94.620972
304908,9151,121.14722,41.130793,-94.623876
304909,9151,121.147222,41.130795,-94.62678
304910,9151,121.147224,41.130796,-94.629683
304911,9151,121.147225,41.130798,-94.632586
304912,9151,121.147227,41.1308,-94.635488
304913,9151,121.147229,41.130801,-94.638389
304914,9151,121.14723,41.130803,-94.64129
304915,9151,121.147232,41.130805,-94.64419
304916,9151,121.147234,41.130807,-94.64709
304917,9151,121.147236,41.130808,-94.649989
304918,9151,121.147237,41.13081,-94.652888
304919,9151,121.147239,41.130812,-94.655786
304920,9151,121.147241,41.130813,-94.658683
304921,9151,121.147242,41.130815,-94.66158
304922,9151,121.147244,41.130817,-94.664477
304923,9151,121.147246,41.130818,-94.667373
304924,9151,121.147247,41.13082,-94.670268
304925,9151,121.147249,41.130822,-94.673163
304926,9151,121.147251,41.130824,-94.676057
304927,9151,121.147253,41.130825,-94.67895
304928,9151,121.147254,41.130827,-94.681843
304929,9151,121.147256,41.130829,-94.684736
304930,9151,121.147258,41.13083,-94.687628
304931,9151,121.147259,41.130832,-94.690519
304932,9151,121.147261,41.130834,-94.69341
304933,9151,121.147263,41.130835,-94.6963
304934,9151,121.147264,41.130837,-94.69919
304935,9151,121.147266,41.130839,-94.702079
304936,9151,121.147268,41.130841,-94.704968
